Id,Age,Gender,Wt,Height,Race,Exposure to fake news [hours/day],Rxn lvl,Notes,Trust level [%],Soc.Med,Status
1104,19,Non-Binary,112,190,Hispanic,7.6,7,Does not engage,22,WeChat,Needs Verification
1105,52,Female,89,192,White,1.2,3,Completely unaware,35,Twitter,Needs Verification
1106,27,Female,84,188,White,7.4,5,Indifferent,114,Unknown,Inactive
1107,53,Non-Binary,58,153,White,13.3,0,Completely unaware,104,WhatsApp,Warning Issued
1108,53,Non-Binary,108,194,Hispanic,13.9,0,Participates in spreading,71,Twitter,Inactive
1109,43,Male,62,167,White,12.9,6,Very Confused,35,WhatsApp,Active
1110,24,Female,68,184,Mixed,12.2,6,Unknown,79,Facebook,Suspended
1111,57,Female,52,169,Asian,1.7,8,Indifferent,5,Snapchat,Inactive
1112,19,Non-Binary,82,175,Mixed,12,3,More fake news than reality,59,WeChat,Pending Review
1113,30,Non-Binary,56,196,Other,2.2,3,Fully converted,58,WeChat,Needs Verification
1114,56,Female,104,168,Other,13,8,Unknown,106,Instagram,Warning Issued
1115,50,Non-Binary,96,162,White,7.5,5,Does not engage,10,Snapchat,Warning Issued
1116,23,Male,91,191,Hispanic,14.1,4,Unknown,98,TikTok,Needs Verification
1117,25,Non-Binary,93,185,Black,4.7,11,Indifferent,50,Snapchat,Warning Issued
1118,61,Male,71,168,White,7.6,6,Unknown,52,Unknown,Suspended
1119,34,Male,75,190,Mixed,14.4,1,Values nothing,26,Snapchat,Inactive
1120,48,Male,85,194,White,6.5,3,Needs Verification,56,WhatsApp,Error
1121,25,Female,82,151,Hispanic,2.5,6,Unknown,108,WhatsApp,Inactive
1122,29,Female,58,184,White,7.6,9,Completely unaware,44,WhatsApp,Error
1123,29,Female,57,179,Hispanic,1.7,4,Occasional check,-8,Facebook,Active
1124,30,Female,72,171,Other,3.1,3,Values nothing,65,WeChat,Warning Issued
1125,42,Female,76,179,Asian,2.7,4,Values nothing,20,Twitter,Needs Verification
1126,60,Non-Binary,106,173,Asian,6.3,0,More fake news than reality,59,Unknown,Active
1127,62,Female,105,159,White,0.2,6,Does not engage,97,WhatsApp,Needs Verification
1128,43,Female,50,192,Other,11.9,1,Values nothing,81,Twitter,Inactive
1129,48,Non-Binary,93,172,Asian,7,8,Some skepticism,113,Twitter,Needs Verification
1130,20,Non-Binary,108,150,Hispanic,10,4,Believes everything,97,Facebook,Active
1131,35,Male,92,186,Hispanic,1.4,7,More fake news than reality,53,Snapchat,Warning Issued
1132,56,Male,76,185,Black,12.9,9,Values nothing,60,WeChat,Inactive
1133,64,Male,65,185,Asian,11.5,3,Values nothing,84,Snapchat,Warning Issued
1134,31,Non-Binary,110,174,Black,2.7,6,Participates in spreading,9,TikTok,Active
1135,42,Female,88,157,Other,8.4,9,Indifferent,5,Facebook,Inactive
1136,55,Female,89,150,Black,13.9,10,Does not engage,5,Snapchat,Inactive
1137,23,Female,92,164,Other,3.8,8,Values nothing,-7,Snapchat,Error
1138,26,Female,63,151,Asian,10.1,2,Does not engage,103,TikTok,Warning Issued
1139,22,Male,114,182,White,12.9,5,Needs Verification,119,Snapchat,Error
1140,63,Male,76,162,White,2.9,7,Values nothing,114,WhatsApp,Needs Verification
1141,49,Female,119,168,White,5.6,2,More fake news than reality,40,WhatsApp,Suspended
1142,47,Male,115,174,White,1.3,8,Occasional check,31,Unknown,Needs Verification
1143,29,Male,59,174,White,13.5,11,Some skepticism,69,TikTok,Inactive
1144,34,Female,79,151,White,1.9,6,Completely unaware,24,WhatsApp,Inactive
1145,25,Male,111,185,Hispanic,11.5,10,More fake news than reality,83,WeChat,Active
1146,36,Male,74,198,White,7.2,11,Unknown,108,TikTok,Inactive
1147,67,Non-Binary,89,154,Other,4.9,4,Does not engage,60,Twitter,Inactive
1148,51,Male,59,189,Hispanic,10.9,11,Does not engage,-5,WhatsApp,Suspended
1149,59,Female,69,177,White,13.5,11,Values nothing,104,TikTok,Pending Review
1150,52,Non-Binary,72,173,Asian,7.1,4,Unknown,115,WhatsApp,Needs Verification
1151,53,Female,78,162,Black,8,0,Participates in spreading,101,TikTok,Pending Review
1152,21,Non-Binary,102,150,Black,8.7,11,Occasional check,66,Twitter,Warning Issued
1153,65,Male,117,161,Mixed,11.1,8,Indifferent,90,Instagram,Error
1154,40,Non-Binary,69,195,Black,14.2,3,Does not engage,23,TikTok,Error
1155,32,Male,102,151,Mixed,12.9,11,Very Confused,84,TikTok,Inactive
1156,39,Female,84,155,Mixed,4.5,0,Completely unaware,16,Snapchat,Inactive
1157,62,Male,55,190,Other,2.2,10,Very Confused,49,WhatsApp,Suspended
1158,26,Non-Binary,117,161,Other,4.7,9,Some skepticism,42,TikTok,Error
1159,37,Male,120,150,Other,6,3,Fully converted,6,Snapchat,Pending Review
1160,32,Male,73,166,Black,12.9,4,More fake news than reality,47,WeChat,Warning Issued
1161,19,Female,57,179,Other,6.2,3,Indifferent,20,Snapchat,Active
1162,50,Non-Binary,118,195,Mixed,10.9,2,Indifferent,-10,Facebook,Inactive
1163,37,Non-Binary,84,157,Other,8.4,7,Needs Verification,18,Snapchat,Error
1164,38,Non-Binary,96,171,Mixed,1.9,11,Participates in spreading,25,Twitter,Error
1165,46,Non-Binary,92,166,Mixed,0.7,1,Unknown,108,Facebook,Pending Review
1166,51,Female,100,188,Mixed,2.9,8,More fake news than reality,59,Instagram,Active
1167,24,Female,95,163,Other,4.9,1,Values nothing,116,Unknown,Warning Issued
1168,50,Female,50,160,Hispanic,3.8,8,Does not engage,117,WeChat,Inactive
1169,23,Non-Binary,111,188,Black,14.2,11,Occasional check,63,WeChat,Pending Review
1170,49,Female,107,189,Black,13.7,6,Completely unaware,101,Facebook,Suspended
1171,59,Non-Binary,64,182,Mixed,7.3,4,Values nothing,120,WeChat,Active
1172,30,Male,117,176,Mixed,8.6,8,Values nothing,71,Snapchat,Suspended
1173,43,Non-Binary,85,183,Hispanic,7.6,5,Does not engage,119,Snapchat,Warning Issued
1174,22,Male,68,187,Other,5.3,10,Occasional check,100,Instagram,Inactive
1175,33,Male,111,187,Black,4.7,7,Participates in spreading,12,WhatsApp,Active
1176,28,Female,75,169,Asian,9.1,6,Occasional check,92,WhatsApp,Error
1177,38,Female,80,200,Black,14.9,11,Does not engage,60,WeChat,Inactive
1178,19,Male,87,182,Black,11.7,0,More fake news than reality,75,TikTok,Pending Review
1179,21,Female,55,161,Black,12.7,5,Participates in spreading,62,Facebook,Suspended
1180,63,Non-Binary,91,192,White,6,11,Needs Verification,109,TikTok,Inactive
1181,19,Male,118,179,Other,6.1,7,Very Confused,48,TikTok,Needs Verification
1182,37,Female,84,166,Mixed,14.9,7,Participates in spreading,4,Instagram,Pending Review
1183,29,Female,59,197,Black,7.9,0,Participates in spreading,58,Twitter,Warning Issued
1184,57,Female,96,152,White,8.7,10,Values nothing,67,TikTok,Suspended
1185,46,Non-Binary,100,154,Mixed,7,1,Needs Verification,38,TikTok,Error
1186,27,Male,51,157,White,7.9,2,Unknown,80,WhatsApp,Needs Verification
1187,19,Male,85,190,Black,4.8,6,Completely unaware,58,Twitter,Error
1188,21,Female,65,162,Asian,13.6,8,Some skepticism,14,Instagram,Suspended
1189,65,Non-Binary,55,174,Black,2.4,10,Needs Verification,21,TikTok,Warning Issued
1190,18,Female,88,184,Other,6.4,11,Some skepticism,65,Snapchat,Needs Verification
1191,38,Female,113,159,Asian,9.1,3,Does not engage,-7,TikTok,Pending Review
1192,63,Male,72,151,Mixed,5.6,6,Occasional check,25,Snapchat,Inactive
1193,48,Male,101,193,Asian,0.4,7,Fully converted,-4,Facebook,Active
1194,65,Male,88,198,Hispanic,4.4,5,Participates in spreading,75,TikTok,Suspended
1195,68,Male,82,192,Hispanic,5.6,6,Completely unaware,-10,Unknown,Active
1196,39,Non-Binary,101,162,Mixed,12,5,Completely unaware,11,Unknown,Needs Verification
1197,62,Non-Binary,52,160,White,0.1,11,Unknown,85,Facebook,Warning Issued
1198,32,Non-Binary,97,169,Black,14.1,3,Needs Verification,12,Unknown,Warning Issued
1199,38,Female,72,193,Asian,11.2,6,Very Confused,54,WhatsApp,Active
1200,55,Female,92,174,Other,11.3,6,Does not engage,90,Facebook,Pending Review
1201,44,Female,113,184,Black,6.6,10,Indifferent,14,Instagram,Pending Review
1202,46,Female,109,166,Other,6.3,5,More fake news than reality,55,TikTok,Needs Verification
1203,49,Male,92,183,Other,7.2,10,More fake news than reality,4,WhatsApp,Inactive
1204,46,Female,89,173,Other,14.1,2,Occasional check,108,TikTok,Needs Verification
1205,20,Female,120,182,Hispanic,13.3,9,Fully converted,38,WeChat,Needs Verification
1206,65,Non-Binary,52,166,Hispanic,9.5,11,Does not engage,44,Twitter,Error
1207,40,Male,70,181,Mixed,6.2,10,Believes everything,25,Unknown,Needs Verification
1208,25,Non-Binary,118,176,Other,9.8,3,Does not engage,86,Facebook,Inactive
1209,69,Non-Binary,87,173,Black,8.4,9,Participates in spreading,66,Unknown,Error
1210,51,Non-Binary,103,188,Other,6,1,More fake news than reality,120,Snapchat,Needs Verification
1211,65,Non-Binary,61,171,Other,10.1,11,Indifferent,86,WeChat,Error
1212,28,Male,62,193,White,1.3,0,Participates in spreading,77,Unknown,Warning Issued
1213,25,Non-Binary,66,159,Mixed,0.3,9,Fully converted,7,WhatsApp,Active
1214,68,Non-Binary,54,184,Hispanic,7.3,8,Needs Verification,66,WeChat,Inactive
1215,56,Non-Binary,67,192,White,3.6,3,Completely unaware,101,Instagram,Pending Review
1216,41,Non-Binary,79,150,Hispanic,4.2,5,Completely unaware,43,Unknown,Pending Review
1217,35,Male,53,190,Asian,4.2,6,Completely unaware,83,Snapchat,Needs Verification
1218,70,Female,115,191,White,10,7,Needs Verification,79,Unknown,Active
1219,29,Male,61,151,Other,14.9,7,Some skepticism,81,Facebook,Pending Review
1220,26,Female,83,193,White,7.2,8,Fully converted,84,Instagram,Needs Verification
1221,36,Non-Binary,117,153,Hispanic,12.5,5,Fully converted,61,WhatsApp,Error
1222,66,Male,78,151,Hispanic,5.4,3,More fake news than reality,92,WeChat,Error
1223,39,Male,109,162,Asian,14.3,2,Completely unaware,49,Unknown,Error
1224,22,Male,92,178,White,1.4,10,Very Confused,27,Facebook,Needs Verification
1225,46,Female,65,181,Asian,9.6,11,Indifferent,5,Instagram,Pending Review
1226,43,Male,66,154,Mixed,10.3,9,Unknown,14,Instagram,Active
1227,40,Male,117,157,White,12.8,3,Occasional check,18,Snapchat,Error
1228,47,Male,93,169,Asian,11.8,8,Unknown,21,WhatsApp,Pending Review
1229,19,Male,107,169,Other,4.6,3,Values nothing,105,TikTok,Suspended
1230,48,Non-Binary,104,156,Other,12.6,4,Unknown,-2,Twitter,Suspended
1231,25,Female,51,196,Hispanic,6.1,5,Values nothing,5,Twitter,Inactive
1232,31,Non-Binary,68,155,Asian,14.6,8,Indifferent,75,Snapchat,Pending Review
1233,64,Male,61,181,Hispanic,10.5,11,Very Confused,-9,Instagram,Pending Review
1234,22,Female,104,150,Mixed,10.9,6,Believes everything,25,Unknown,Inactive
1235,40,Non-Binary,112,198,Hispanic,14.3,1,Participates in spreading,37,Snapchat,Inactive
1236,58,Female,105,162,Black,12.5,2,Very Confused,63,WeChat,Pending Review
1237,27,Male,110,169,Asian,14.3,3,Fully converted,72,TikTok,Pending Review
1238,70,Male,98,189,White,1.1,7,Indifferent,-1,Twitter,Error
1239,43,Female,76,154,Black,11.1,5,Believes everything,6,Twitter,Suspended
1240,53,Non-Binary,119,159,Asian,1.1,3,Unknown,28,TikTok,Inactive
1241,39,Female,86,168,Hispanic,14,4,Fully converted,66,Facebook,Error
1242,32,Non-Binary,86,191,Hispanic,8.6,2,Believes everything,52,Snapchat,Error
1243,67,Female,69,199,White,4.2,4,Values nothing,-8,Snapchat,Needs Verification
1244,46,Non-Binary,91,200,White,9.2,7,Occasional check,54,TikTok,Suspended
1245,67,Non-Binary,91,154,Mixed,7.6,5,More fake news than reality,97,TikTok,Needs Verification
1246,32,Non-Binary,54,165,Mixed,14.5,4,Does not engage,74,Instagram,Warning Issued
1247,66,Male,106,167,Other,5.3,4,Occasional check,52,Facebook,Pending Review
1248,44,Non-Binary,108,177,White,14.3,11,Completely unaware,99,WhatsApp,Pending Review
1249,65,Female,81,177,White,5.6,5,Completely unaware,106,Twitter,Pending Review
1250,33,Non-Binary,108,180,Other,10.7,5,Indifferent,-4,Snapchat,Inactive
1251,50,Female,119,198,Hispanic,14.6,8,Indifferent,108,Instagram,Active
1252,46,Female,91,172,Other,8.3,8,More fake news than reality,37,Instagram,Inactive
1253,67,Female,71,182,Other,6.6,1,Completely unaware,37,WhatsApp,Pending Review
1254,32,Male,120,178,Other,3,11,Needs Verification,99,WeChat,Warning Issued
1255,42,Male,116,164,Black,14,3,Unknown,56,Facebook,Needs Verification
1256,65,Female,70,200,Mixed,3.6,3,More fake news than reality,78,Unknown,Needs Verification
1257,25,Female,115,195,Hispanic,5,10,Occasional check,20,TikTok,Pending Review
1258,32,Female,120,151,Other,8.3,6,Completely unaware,94,Twitter,Pending Review
1259,67,Male,86,182,White,12.1,6,Completely unaware,-6,TikTok,Inactive
1260,45,Female,88,178,Black,11.2,2,Believes everything,39,WeChat,Inactive
1261,22,Male,77,156,Hispanic,4.2,5,Fully converted,102,Instagram,Active
1262,36,Non-Binary,112,192,Black,7.3,11,Participates in spreading,65,Snapchat,Active
1263,64,Non-Binary,77,151,Black,7.1,7,Occasional check,63,Unknown,Pending Review
1264,22,Female,69,184,Asian,6,2,Some skepticism,-3,TikTok,Active
1265,23,Non-Binary,83,180,Mixed,14.5,1,Unknown,74,Unknown,Active
1266,46,Female,119,159,White,2.8,8,Some skepticism,98,Facebook,Inactive
1267,52,Non-Binary,101,154,Hispanic,0.8,2,Needs Verification,75,WeChat,Suspended
1268,25,Female,97,155,Other,7.8,2,Indifferent,100,TikTok,Needs Verification
1269,28,Non-Binary,110,189,Hispanic,8,5,Fully converted,89,Facebook,Active
1270,44,Female,51,170,Asian,13.8,7,More fake news than reality,99,WeChat,Error
1271,31,Non-Binary,114,158,Mixed,9.2,3,Values nothing,83,TikTok,Active
1272,51,Male,102,172,Asian,4.1,6,Participates in spreading,79,Facebook,Suspended
1273,19,Male,81,151,Asian,3.4,11,Very Confused,-8,WhatsApp,Error
1274,49,Female,74,196,Asian,7.8,6,Needs Verification,2,TikTok,Active
1275,47,Female,116,193,Hispanic,14.2,9,Believes everything,76,WeChat,Needs Verification
1276,65,Female,52,158,White,1.2,10,Occasional check,71,Facebook,Pending Review
1277,60,Female,70,167,Asian,0.5,10,Occasional check,58,WhatsApp,Needs Verification
1278,58,Non-Binary,97,184,Mixed,3.6,1,Needs Verification,29,TikTok,Inactive
1279,51,Male,68,166,Hispanic,4.1,10,Completely unaware,4,Twitter,Error
1280,61,Non-Binary,102,152,White,6.2,4,Completely unaware,120,TikTok,Needs Verification
1281,36,Female,71,159,Other,14.9,4,Does not engage,9,Twitter,Pending Review
1282,50,Non-Binary,114,194,Other,9.5,1,Believes everything,96,WhatsApp,Inactive
1283,66,Non-Binary,110,164,White,5.6,0,Occasional check,69,WhatsApp,Needs Verification
1284,55,Male,66,199,Hispanic,0.8,9,Occasional check,22,TikTok,Warning Issued
1285,24,Male,88,164,Hispanic,13.8,9,Occasional check,-4,Facebook,Warning Issued
1286,35,Male,100,175,Mixed,14.2,2,Believes everything,55,WhatsApp,Warning Issued
1287,52,Female,75,167,Other,4.6,3,Participates in spreading,103,WhatsApp,Active
1288,57,Female,64,160,Asian,2.4,9,Completely unaware,84,Snapchat,Pending Review
1289,39,Male,93,190,Hispanic,13.7,2,Participates in spreading,75,WhatsApp,Pending Review
1290,42,Male,61,189,Mixed,8.8,7,Completely unaware,99,Twitter,Suspended
1291,19,Female,66,171,Black,6.1,2,More fake news than reality,72,Unknown,Error
1292,31,Male,98,173,Other,12.6,11,Values nothing,-10,Snapchat,Pending Review
1293,35,Non-Binary,89,180,Other,5.4,1,Values nothing,-3,Instagram,Active
1294,66,Male,76,158,Mixed,10,8,Needs Verification,72,WhatsApp,Suspended
1295,21,Non-Binary,81,186,Hispanic,1.8,6,Participates in spreading,53,WeChat,Active
1296,18,Male,110,198,White,9,3,Participates in spreading,97,Twitter,Inactive
1297,48,Female,57,152,White,4.4,5,Indifferent,36,Twitter,Error
1298,18,Female,88,179,Black,5.6,1,Does not engage,73,Unknown,Pending Review
1299,27,Non-Binary,83,195,White,5.3,2,Unknown,76,Facebook,Warning Issued
1300,19,Female,109,197,Asian,1.4,1,Some skepticism,94,WeChat,Pending Review
1301,57,Female,69,187,Other,7.8,4,Completely unaware,41,WhatsApp,Needs Verification
1302,54,Male,108,193,Mixed,8.4,7,Does not engage,79,WhatsApp,Pending Review
1303,60,Female,116,158,Hispanic,13.9,4,Needs Verification,109,Facebook,Needs Verification
1304,59,Female,75,182,Other,10,1,Values nothing,15,Unknown,Pending Review
1305,55,Non-Binary,66,180,Asian,13.5,5,Indifferent,63,TikTok,Pending Review
1306,65,Male,99,155,Other,8.4,9,Participates in spreading,59,Snapchat,Inactive
1307,68,Male,67,191,Mixed,3.1,10,Does not engage,38,Facebook,Active
1308,52,Non-Binary,75,184,Hispanic,7.9,6,Very Confused,33,Facebook,Active
1309,37,Female,82,174,Asian,13.4,4,Does not engage,35,Facebook,Active
1310,65,Male,112,186,Hispanic,2.9,2,Values nothing,78,Instagram,Pending Review
1311,38,Non-Binary,68,153,Asian,8.3,11,Occasional check,26,WeChat,Suspended
1312,53,Non-Binary,53,178,Hispanic,2.1,10,Some skepticism,34,WhatsApp,Suspended
1313,39,Female,114,153,Hispanic,11.9,8,Participates in spreading,38,Twitter,Error
1314,66,Non-Binary,67,152,White,10.9,1,Fully converted,71,WeChat,Inactive
1315,53,Non-Binary,78,167,Mixed,9.2,8,More fake news than reality,41,Facebook,Suspended
1316,65,Female,72,180,Black,11.4,10,Values nothing,-9,TikTok,Error
1317,56,Male,59,200,Mixed,7.4,4,Very Confused,56,WhatsApp,Suspended
1318,68,Non-Binary,55,177,Black,6.2,5,Occasional check,27,WhatsApp,Inactive
1319,43,Male,87,172,Mixed,10.8,6,Indifferent,-8,WeChat,Active
1320,66,Male,107,151,Asian,8.9,6,Very Confused,85,Twitter,Error
1321,52,Female,93,174,White,11.7,8,Unknown,29,Unknown,Active
1322,63,Non-Binary,106,159,Other,10.2,11,Believes everything,109,Instagram,Error
1323,42,Non-Binary,91,154,Other,13.4,6,Needs Verification,-4,WhatsApp,Warning Issued
1324,47,Female,105,170,Other,5.7,6,Values nothing,1,Instagram,Warning Issued
1325,37,Male,68,189,White,9.8,10,Does not engage,77,Snapchat,Warning Issued
1326,29,Female,108,192,Black,14.4,9,Unknown,58,Snapchat,Suspended
1327,33,Non-Binary,113,174,Mixed,11.3,4,Fully converted,52,Facebook,Inactive
1328,57,Female,93,191,Other,12.9,7,Occasional check,93,Snapchat,Warning Issued
1329,67,Female,116,191,Hispanic,11.6,7,Values nothing,11,TikTok,Pending Review
1330,44,Male,86,180,Black,10.9,3,Fully converted,10,WeChat,Error
1331,45,Female,69,152,Hispanic,3.9,0,Needs Verification,60,TikTok,Pending Review
1332,60,Non-Binary,71,196,Mixed,6.3,10,Some skepticism,8,WeChat,Pending Review
1333,38,Non-Binary,85,163,White,5.9,3,Some skepticism,13,WhatsApp,Warning Issued
1334,61,Female,57,182,Mixed,14.8,7,Completely unaware,75,WeChat,Pending Review
1335,70,Female,115,185,Other,4.2,3,Believes everything,54,Facebook,Inactive
1336,32,Female,59,155,Mixed,14.3,3,Does not engage,37,Twitter,Inactive
1337,52,Male,55,191,Hispanic,4.9,0,Does not engage,90,TikTok,Needs Verification
1338,44,Female,73,170,Hispanic,1.9,5,Very Confused,54,Twitter,Inactive
1339,45,Non-Binary,60,183,Other,8.3,8,Completely unaware,6,Snapchat,Warning Issued
1340,36,Female,53,182,Other,6.5,11,Unknown,-9,Twitter,Error
1341,32,Male,89,182,Hispanic,1.9,6,Believes everything,50,TikTok,Pending Review
1342,42,Non-Binary,82,183,Mixed,10.3,7,Does not engage,109,WeChat,Inactive
1343,58,Non-Binary,102,166,White,10.1,7,Some skepticism,29,Unknown,Inactive
1344,61,Male,55,190,Mixed,14.3,8,Unknown,47,WhatsApp,Error
1345,62,Female,84,161,White,9.1,10,More fake news than reality,25,WhatsApp,Inactive
1346,47,Non-Binary,92,165,Mixed,1.8,9,Completely unaware,53,Unknown,Inactive
1347,47,Non-Binary,69,196,Mixed,6.3,1,Occasional check,1,Twitter,Active
1348,28,Male,57,194,Hispanic,14.2,2,Believes everything,-10,Twitter,Suspended
1349,56,Non-Binary,109,174,Asian,8.1,0,Does not engage,60,WeChat,Needs Verification
1350,36,Female,91,178,Hispanic,12,6,Unknown,-3,Facebook,Error
1351,44,Non-Binary,78,196,Other,7.9,5,More fake news than reality,64,Twitter,Error
1352,41,Non-Binary,103,159,Asian,10.5,7,More fake news than reality,26,Twitter,Error
1353,63,Male,69,182,White,6,6,Completely unaware,45,Snapchat,Error
1354,30,Non-Binary,103,160,Hispanic,4.3,10,Needs Verification,98,Twitter,Needs Verification
1355,44,Non-Binary,98,150,Hispanic,0,6,Participates in spreading,92,TikTok,Warning Issued
1356,31,Non-Binary,86,163,White,1,2,Participates in spreading,113,Twitter,Error
1357,55,Male,58,155,White,10.1,4,Fully converted,74,Facebook,Pending Review
1358,48,Male,58,185,Black,14,10,Believes everything,106,Twitter,Warning Issued
1359,64,Non-Binary,70,190,Asian,9.8,2,Does not engage,98,TikTok,Error
1360,65,Female,88,155,Black,1,2,Indifferent,119,Instagram,Suspended
1361,35,Non-Binary,110,164,Mixed,8.1,5,Some skepticism,48,WeChat,Suspended
1362,35,Male,110,191,Black,11.9,2,Some skepticism,90,WhatsApp,Active
1363,33,Male,73,150,Mixed,3.6,2,Very Confused,86,WhatsApp,Active
1364,21,Female,105,157,Other,2.1,9,Indifferent,38,Twitter,Pending Review
1365,45,Male,58,175,Other,14.8,10,Values nothing,5,TikTok,Active
1366,50,Female,52,174,Mixed,0.9,9,Completely unaware,16,Instagram,Warning Issued
1367,65,Female,51,176,Other,7.1,1,Needs Verification,67,Instagram,Warning Issued
1368,48,Male,70,166,Asian,2.5,4,Participates in spreading,54,Snapchat,Inactive
1369,31,Non-Binary,75,154,Black,10.1,6,Values nothing,104,TikTok,Suspended
1370,53,Non-Binary,115,157,Black,10,3,Very Confused,5,Snapchat,Pending Review
1371,57,Non-Binary,86,179,Black,12.1,5,Participates in spreading,67,WeChat,Warning Issued
1372,45,Non-Binary,100,179,Mixed,3.5,4,Participates in spreading,34,WhatsApp,Active
1373,60,Male,61,157,Hispanic,11,0,Fully converted,75,Unknown,Active
1374,22,Non-Binary,74,181,Hispanic,10,11,Fully converted,6,WeChat,Error
1375,69,Male,116,168,Hispanic,14.8,1,Unknown,70,TikTok,Pending Review
1376,36,Female,96,181,Mixed,9.8,8,Does not engage,57,TikTok,Active
1377,50,Female,114,164,Hispanic,7.4,11,Some skepticism,78,Facebook,Suspended
1378,67,Non-Binary,110,182,Hispanic,0.3,5,Very Confused,6,TikTok,Active
1379,37,Non-Binary,84,165,Other,12.7,3,Very Confused,100,WeChat,Error
1380,53,Male,93,183,Black,8.7,7,Very Confused,30,WhatsApp,Suspended
1381,32,Female,114,178,Hispanic,9.8,8,Does not engage,12,Snapchat,Suspended
1382,41,Male,107,152,White,5.6,0,Completely unaware,-3,Facebook,Inactive
1383,21,Non-Binary,78,180,White,7.8,8,Occasional check,18,WhatsApp,Needs Verification
1384,53,Male,57,177,Mixed,11.8,1,Some skepticism,61,Snapchat,Active
1385,48,Non-Binary,84,155,White,11.9,10,Unknown,109,TikTok,Pending Review
1386,56,Female,65,194,Other,13.2,0,More fake news than reality,81,Instagram,Needs Verification
1387,65,Male,58,153,Asian,11.2,9,Believes everything,58,WhatsApp,Error
1388,26,Non-Binary,94,181,Mixed,12.2,0,Believes everything,96,TikTok,Needs Verification
1389,24,Non-Binary,89,182,Asian,0.8,4,Needs Verification,32,Twitter,Active
1390,35,Non-Binary,75,170,Black,6.8,10,Completely unaware,31,Instagram,Warning Issued
1391,60,Non-Binary,72,157,Hispanic,5.9,1,Participates in spreading,97,Instagram,Active
1392,57,Male,82,160,Mixed,14.3,10,Participates in spreading,12,Twitter,Suspended
1393,20,Female,64,189,White,3.2,1,Indifferent,41,Instagram,Error
1394,47,Male,85,169,Mixed,7.9,1,Believes everything,88,TikTok,Pending Review
1395,20,Female,62,178,Asian,14.7,2,Participates in spreading,93,TikTok,Needs Verification
1396,53,Non-Binary,72,166,Black,5.1,11,Occasional check,49,Unknown,Pending Review
1397,45,Male,104,194,White,14.8,4,Some skepticism,7,Twitter,Suspended
1398,53,Non-Binary,77,187,Mixed,5.6,6,Completely unaware,3,TikTok,Inactive
1399,57,Non-Binary,120,173,Asian,0.8,5,Participates in spreading,112,WhatsApp,Inactive
1400,50,Female,55,175,Asian,9.7,11,Very Confused,119,WeChat,Warning Issued
1401,28,Non-Binary,96,164,Mixed,3.8,2,Participates in spreading,83,Snapchat,Needs Verification
1402,65,Female,72,178,Asian,4.4,1,Occasional check,86,Instagram,Warning Issued
1403,25,Female,56,167,Hispanic,1.3,4,Some skepticism,48,Instagram,Needs Verification
1404,42,Male,99,182,Other,8.1,4,Unknown,100,TikTok,Suspended
1405,36,Male,94,179,White,3.7,10,Participates in spreading,93,Unknown,Error
1406,43,Non-Binary,102,190,Mixed,0.1,3,Some skepticism,0,Unknown,Suspended
1407,59,Male,67,166,White,9.9,10,Values nothing,97,Facebook,Suspended
1408,24,Non-Binary,94,155,Black,5.6,10,Values nothing,76,Instagram,Suspended
1409,53,Male,91,150,Other,5.3,9,Does not engage,64,WhatsApp,Error
1410,60,Female,106,159,Mixed,5.7,6,Indifferent,114,Snapchat,Active
1411,49,Female,63,175,Mixed,6.9,7,More fake news than reality,120,TikTok,Pending Review
1412,41,Female,55,170,Other,2.3,9,Unknown,4,Unknown,Error
1413,26,Female,115,191,Asian,11,10,Needs Verification,46,Twitter,Suspended
1414,65,Non-Binary,79,198,Asian,13.5,3,Does not engage,33,Instagram,Suspended
1415,47,Male,108,171,Black,14.6,4,Occasional check,97,Instagram,Needs Verification
1416,25,Female,63,155,Black,12.9,4,Fully converted,72,WhatsApp,Inactive
1417,50,Non-Binary,93,197,Hispanic,13.4,2,Does not engage,1,Unknown,Suspended
1418,66,Female,71,158,Black,8.1,9,Very Confused,74,WeChat,Error
1419,52,Female,74,161,Other,2.8,11,Fully converted,57,Unknown,Inactive
1420,52,Non-Binary,84,163,White,7.7,3,Occasional check,27,WeChat,Warning Issued
1421,48,Female,97,166,Mixed,3.4,6,Completely unaware,38,Facebook,Suspended
1422,21,Non-Binary,60,183,Hispanic,13.8,8,Believes everything,56,Twitter,Error
1423,50,Female,111,156,Other,4.2,1,Does not engage,31,Twitter,Needs Verification
1424,51,Male,118,193,Black,6.7,1,Values nothing,36,TikTok,Error
1425,38,Non-Binary,114,169,Black,13,11,Occasional check,79,Twitter,Error
1426,61,Female,56,165,Other,0.9,4,Fully converted,118,TikTok,Pending Review
1427,36,Male,105,180,Asian,13.8,0,Fully converted,41,WeChat,Suspended
1428,30,Non-Binary,93,159,Asian,5.6,8,Indifferent,2,Unknown,Needs Verification
1429,64,Female,78,161,Asian,5.3,2,Completely unaware,73,Snapchat,Suspended
1430,30,Male,57,178,White,14,4,Does not engage,-3,Instagram,Pending Review
1431,21,Male,94,166,Black,8.2,3,Indifferent,117,Snapchat,Error
1432,29,Male,92,196,Asian,10.7,4,Some skepticism,71,TikTok,Suspended
1433,64,Male,55,165,Mixed,4.3,9,Does not engage,88,TikTok,Needs Verification
1434,39,Female,67,194,Hispanic,0.7,11,Unknown,73,Snapchat,Warning Issued
